STT,Stadtteil,Einwohner,Staatsangehörigkeit deutsch,EU-Ausländer,sonstige Ausländer,Religion - katholisch,Religion - evangelisch,Religion - sonstige,Zuzüge,Wegzüge,Saldo Außenwanderung,durchschnittliche Kaufkraft pro Einwohner in EURO,HH_insgesamt,HH_1–Person,HH_2-Personen,HH_3+-Personen,Lebendgeburten,Sterbefälle,Fam_Stand_ledig (ab 18J):,Fam_Stand_Verheiratet/Lebenspartnerschaft (ab 18J),Fam_Stand_Verwitwet / LP-gestorben (ab 18J),Fam_Stand_geschieden / LP aufgehoben (ab 18J):,Fam_Stand_sonstige (ab 18J),Arbeitslose,Sv. Beschäftigte,PKW Bestand privat,Wahlbeteiligung BTW 2017,Wahlergebnisse BTW CDU 2017,Wahlergebnisse BTW SPD 2017,Wahlergebnisse BTW FDP 2017,Wahlergebnisse BTW Grüne 2017,Wahlergebnisse BTW Die LINKE 2017,Wahlbeteiligung LTW 2016,Wahlergebnisse LTW CDU 2016,Wahlergebnisse LTW SPD 2016,Wahlergebnisse LTW Grüne 2016,Wahlergebnisse LTW FDP 2016,Wahlergebnisse LTW AfD 2016,Wahlbeteiligung GRW 2019,Wahlergebnisse GRW FGL 2019,Wahlergebnisse GRW CDU 2019,Wahlergebnisse GRW SPD 2019,Wahlergebnisse GRW FW 2019,Wahlergebnisse GRW FDP 2019,Wahlergebnisse GRW LLK 2019,Wahlergebnisse GRW JFK 2019,Fläche_insgesamt,Siedlungsfläche,davon Wohnbau,davon Industrie und Gewerbe,Verkehrsfläche,Landwirtschafts- und Waldfläche,OBJECTID,STT_NR,STT_NAME,AREA,LEN,Shape__Area,Shape__Length,Anteil_Deutsche,Anteil_EU_Ausländer,Anteil_sonstige_Ausländer,Anteil_katholisch,Anteil_evangelisch,Anteil_sonst.Religion,Ein_Personen_HH,Zwei_Personen_HH,Drei_Plus_Personen_HH,Anteil_Fam_stand_ledig,Anteil_Fam_stand_verheiratet,Anteil_Fam_stand_verwitwet,Anteil_Fam_stand_geschieden,Anteil_Fam_stand_sonstige,Anteil_Kinder,Kinder,Anteil_Arbeitslose,Anteil_SV_Beschaeftigte
10,Altstadt,12116,10329,858,929,3998,2502,5616,1398,1350,48,"23079,89",7481,4659,1686,1136,149,139,5206,3683,577,998,27,241,4203,3828,"82,1","24,1","15,1","12,4",28,"11,3","73,2","16,4","12,7","49,6","7,3","5,5","66,5","37,7",13,12,"10,9",7,"9,2","10,2","129,09","77,7","37,62","18,21","43,1",0,1055,010,Altstadt,,,"1290592,805","5751,731602","85,25090789","7,081545064","7,667547045","32,99768901","20,65037966","46,35193133","62,27777035","22,53709397","15,18513568","42,96797623","30,39782106","4,762297788","8,237041928","0,2228458237","13,41201717",1625,"1,989105315","34,68966656"
20,Paradies,6113,5341,336,436,2354,1326,2433,857,914,-57,"18470,84",3696,2071,1123,502,47,60,2783,1800,388,467,2,69,1865,1908,"78,5","30,5","16,4","10,9","22,2","9,5","69,9","20,9","13,1","44,5","6,8","7,1","63,6","34,6","16,1","11,9","11,4","7,3","7,3","11,5","63,2","45,23","28,86","2,82","15,04","2,09",1057,020,Paradies,,,"631339,7612","3415,162146","87,37117618","5,496482905","7,132340913","38,5080975","21,69147718","39,80042532","56,03354978","30,38419913","13,58225108","45,52592835","29,44544414","6,347129069","7,639456895","0,03271716015","11,00932439",673,"1,128742025","30,50875184"
30,Petershausen-West,16002,12762,1539,1701,5212,3082,7708,1968,1861,107,"19086,63",9339,5268,2538,1533,160,78,7080,4850,663,1274,93,319,5847,4926,75,26,"16,9","11,5","21,3","11,3","64,1","17,7","13,9",41,"7,2","9,5","55,4","33,6","15,7","12,3","10,4","7,2","8,4","12,4","184,22","136,54","69,4","29,84","43,13","4,41",1050,030,Petershausen_West,,,"1829432,661","6289,565593","79,75253093","9,617547807","10,62992126","32,57092863","19,26009249","48,16897888","56,40860906","27,17635721","16,41503373","44,24446944","30,30871141","4,143232096","7,961504812","0,5811773528","12,76090489",2042,"1,993500812","36,5391826"
35,Petershausen-Ost,7273,6388,354,531,2464,1683,3126,661,593,68,"28491,28",4100,2203,1145,752,49,138,2274,2811,637,549,15,69,2025,2902,"82,4","30,3","14,5","15,6","22,3","7,7","73,4","21,6","12,9","40,8","10,5","8,6","66,2","31,4","18,5","11,6","13,7","9,8","6,1",9,"163,49","110,65","78,53","2,79","28,55","23,18",1051,035,Petershausen_Ost,,,"1630878,436","6748,992589","87,83170631","4,867317476","7,300976213","33,87872955","23,14038224","42,98088822","53,73170732","27,92682927","18,34146341","31,26632751","38,64980063","8,758421559","7,548466932","0,2062422659","13,5707411",987,"0,9487144232","27,8427059"
40,Königsbau,6248,5067,562,619,2129,1358,2761,1077,918,159,"20020,7",3303,1519,1133,651,52,30,2672,1924,248,425,5,120,1793,1891,"74,8","26,9","15,6","13,8","21,8","9,9","65,5","19,2","13,6","39,2","7,9","10,4","57,3","33,9","16,3",12,"11,4",8,"7,1","11,4","107,21","49,84","42,53","1,03","10,39","46,98",1049,040,Koenigsbau,,,"1080043,487","5158,245361","81,09795134","8,994878361","9,907170294","34,07490397","21,73495519","44,19014085","45,98849531","34,30214956","19,70935513","42,76568502","30,79385403","3,969270166","6,802176697","0,08002560819","15,58898848",974,"1,920614597","28,6971831"
50,Allmannsdorf,5341,4788,278,275,1895,1354,2092,453,455,-2,"29320,77",2995,1621,783,591,37,51,1760,2147,309,382,2,53,1629,2356,"84,8","30,7","14,5","15,1","22,3","8,7","77,2","21,5","11,5","43,1","10,2","7,4","71,8",32,19,11,14,"8,9","5,7","9,5","214,58","87,32","67,59","3,85","19,8","105,85",1052,050,Allmannsdorf,,,"2144084,993","7561,954807","89,64613368","5,205017787","5,14884853","35,48024714","25,35105785","39,168695","54,12353923","26,14357262","19,73288815","32,95263059","40,19846471","5,785433439","7,152218686","0,03744617113","13,8738064",741,"0,9923235349","30,49990638"
60,Staad,1793,1637,84,72,640,418,735,115,127,-12,"31517,41",1000,502,310,188,13,12,487,802,121,135,0,28,711,929,"87,1","30,8",15,"16,2","20,6","7,4","79,6","22,4","12,1",42,"10,2","8,4","71,8",30,"20,9","11,5","14,4",9,"5,3",9,"94,06","60,93","26,27","5,49","10,3","18,28",1053,060,Staad,,,"942150,446","8304,947085","91,29949805","4,684885666","4,015616286","35,69436698","23,31288344","40,99274958","50,2",31,"18,8","27,16118238","44,72950363","6,748466258","7,529280535",0,"13,83156721",248,"1,561628555","39,65421082"
70,Fürstenberg,12346,10006,1218,1122,4246,2360,5740,1242,1272,-30,"22126,68",7044,3802,2021,1221,105,97,4566,4364,707,1013,9,246,4453,4584,"75,5","27,8","17,5","11,4",19,"10,8","65,4","19,9","14,9","38,6","6,7","10,8","53,3","29,7","18,7","13,1","11,9","7,3","8,5","10,9","175,85","116,68","86,32","4,37","23,93","35,1",1054,070,Fuerstenberg,,,"1757015,539","6304,621235","81,04649279","9,865543496","9,087963713","34,39170582","19,115503","46,49279119","53,9750142","28,69108461","17,33390119","36,98363843","35,34748097","5,72655111","8,205086668","0,07289810465","13,66434473",1687,"1,992548194","36,06836222"
80,Wollmatingen,6784,5774,531,479,2334,1318,3132,468,457,11,"20979,76",3390,1581,902,907,55,64,1936,2649,344,514,3,139,2477,2813,"75,4","29,3","15,8","12,7","19,4","9,5","64,5","21,1","11,7","39,1",8,"11,5","54,1","32,3","20,7","11,2","12,6","6,3","6,3","10,6","1025,96","110,32","52,6","15,1","45,5","859,88",1056,080,Wollmatingen,,,"10250219,33","18098,43327","85,1120283","7,827240566","7,060731132","34,40448113","19,42806604","46,16745283","46,63716814","26,60766962","26,75516224","28,53773585","39,04775943","5,070754717","7,576650943","0,04422169811","19,72287736",1338,"2,048938679","36,51238208"
90,Industriegebiet,1093,673,178,242,298,158,637,186,148,38,"18029,55",560,282,142,136,11,9,369,380,45,95,45,45,426,441,"67,6","27,5",17,13,"17,6","8,7","53,1","21,9","12,2","35,9","7,8",12,"43,4",27,"17,7","13,6","17,2",7,"9,8","7,7","489,93","143,74","5,06","114,27","65,1","261,1",1043,090,Industriegebiet,,,"4893131,455","14025,81465","61,5736505","16,28545288","22,14089661","27,26440988","14,45562672","58,2799634","50,35714286","25,35714286","24,28571429","33,76029277","34,76669716","4,117108875","8,691674291","4,117108875","14,54711802",159,"4,117108875","38,97529735"
100,Egg,763,671,21,71,256,191,316,54,49,5,"26049,9",345,123,112,110,10,3,192,359,20,27,3,28,711,356,"89,1","27,8","13,6","13,8","24,9","8,8","83,5","22,3","9,2","43,5","8,9","8,7","79,8","33,1","19,6","9,2","13,1","8,6","7,3","9,1","314,26","46,74","10,34","1,18","23,36","238,6",1044,100,Egg,,,"3141867,682","9126,229557","87,9423329","2,752293578","9,305373526","33,55176933","25,0327654","41,41546527","35,65217391","32,46376812","31,88405797","25,163827","47,05111402","2,621231979","3,538663172","0,3931847969","21,23197903",162,"3,669724771","93,18479685"
110,Litzelstetten,3831,3440,230,161,1446,899,1486,287,285,2,"29864,07",2082,1000,648,434,31,36,1038,1740,234,295,5,51,1245,2081,85,"32,8","14,2",16,"19,4","7,6","77,8","23,6","12,9","36,8","11,8","9,2","66,2","23,6","23,5","12,1","19,3","9,7","4,8","7,1","511,35","102,95","51,45","6,16","33,27","356,1",1045,110,Litzelstetten,,,"5111556,351","15866,9176","89,79378752","6,003654398","4,202558079","37,74471417","23,46645784","38,78882798","48,03073967","31,12391931","20,84534102","27,09475333","45,41895067","6,108065779","7,700339337","0,1305142261","13,54737666",519,"1,331245106","32,49804229"
120,Dingelsdorf,2094,1896,112,86,885,428,781,169,174,-5,"29119,63",1052,447,343,262,22,16,547,987,105,132,1,24,724,1148,"86,7","34,1","14,2","13,3","18,5","7,6","79,9","24,2",11,"38,3","9,1","10,8",73,21,"32,4","8,9","16,7","6,6","3,7","10,7","643,43","61,02","34,23","2,76","24,26","542,36",1046,120,Dingelsdorf,,,"6432537,697","15023,9201","90,54441261","5,348615091","4,106972302","42,26361032","20,43935053","37,29703916","42,4904943","32,60456274","24,90494297","26,12225406","47,13467049","5,014326648","6,303724928","0,04775549188","15,37726839",322,"1,146131805","34,57497612"
130,Dettingen,3270,2959,177,134,1372,699,1199,211,217,-6,"27003,64",1603,653,534,416,22,30,762,1563,194,198,4,37,1086,1649,"83,6","34,8",17,"11,5",18,"7,2","74,6","23,5","14,3","37,5",8,"10,5","67,3","23,5","27,7","18,1","11,9","7,1","3,8","7,9","1075,68","77,26","45,69","7,03","38,52","947,8",1047,130,Dettingen,,,"10748854,15","17932,63534","90,48929664","5,412844037","4,097859327","41,95718654","21,37614679","36,66666667","40,73611978","33,31253899","25,95134124","23,30275229","47,79816514","5,932721713","6,055045872","0,122324159","16,78899083",549,"1,131498471","33,21100917"
140,Wallhausen,1123,987,84,52,393,267,463,92,119,-27,"28844,7",641,335,192,114,7,4,342,481,68,92,0,14,390,599,"82,7","32,4","14,5","14,8","17,5","9,3","73,2","22,5","10,8",39,"8,8","12,5","65,7","22,5","33,2","14,7","10,7","8,5","3,9","6,5","174,93","27,64","16,32","1,8","10,6","136,35",1048,140,Wallhausen,,,"1750814,389","8136,98841","87,88958148","7,479964381","4,630454141","34,99554764","23,77560107","41,22885129","52,26209048","29,95319813","17,78471139","30,45414069","42,8317008","6,055209261","8,192341941",0,"12,4666073",140,"1,24666073","34,72840606"